	1
"-ois,"	1
"at	1
"cfa"),	1
"dfa"),	1
"downstate"	1
"downstate".	1
"egypt"or	1
"free	1
"he	1
"iliniwek"	1
"ilinweâ·"	1
"ilinweâ·k").	1
"illiniwek"	1
"illinois"	3
"illinois",	1
"illinois".	1
"inoka",	1
"ireniwa"	1
"ireniwaki".	1
"irenweâ·wa"	1
"land	1
"little	2
"man"	1
"men"	1
"north"	1
"northern"	1
"tribe	1
"winter	2
'man'	1
'men'	1
(	1
(-39â â°c),	1
(29	1
(58	1
(due	1
(ho-chunk)	1
(including	1
(koppen	1
(kã¶ppen	1
(meskwaki)	1
(mesquakie),	1
(more	1
(pluralized	1
(west	1
(which	1
)	1
,	1
-36	1
-37â â°f	1
/we/	1
1,	1
10	1
10,	1
10-mile	1
100	2
10000	1
101	1
105	1
111	1
117	1
12.4â million.	1
123,272	1
1235	1
13.8	1
14	1
14,	1
15,	1
150	2
156th	1
15th	1
1670s,	1
1673.	1
1680,	1
1682,	1
1763,	1
1778,	1
1783	1
18	1
18,	1
18.	1
1809,	1
1810s	1
1812	1
1818,	4
1819,	1
1820s,	1
1822,	1
1830s	1
1830â€“1831	1
1831;	1
1832,	1
1836,	1
1837,	1
1839,	1
1844,	1
1847,	1
1848	1
1848,	1
1853,	1
1857,	1
1867,	1
1870	1
1871,	2
1896	1
1900,	1
1917	1
1925	1
1933.	1
1937,	1
1939,	1
1942,	1
1954,	1
1954.	1
1957,	1
1959.	1
1960,	2
1961,	1
1967	1
1967,	1
1970,	1
1985.	1
1990	1
1993,	1
1999,	1
19th	2
20,	1
2009,	1
2011.	1
2013,	1
20th	2
21st	1
23,	1
250,000)	1
25th	1
3,	1
30	1
30'	1
35	3
38	1
381,342	1
39	1
4	1
40	1
400-mile	1
42â°	1
42â°â€š30'	1
48	3
5,	1
50	3
50,	1
5000	1
51	2
5th	1
5â million.	1
6.1	1
613	1
695	1
7,000	1
75	1
7th	1
8,	1
814000	1
836	1
8500	1
87â°â€š31â€²â€š30â€³	1
9.8â million	1
90	1
900	1
951	1
98%	1
<doc	1
a	68
a.	1
about	5
above	4
abraham	4
abrogated	1
accelerator,	1
according	1
achieved	1
acre	1
acre.	1
acres	1
across	1
activated	1
activity	1
actually	1
added	2
addition	1
additionally,	1
adjoining	1
administered	1
admiral	1
admission	1
adopt	1
adopted	1
adults	1
adverse	1
african	2
african-american	1
after	6
afterward,	1
afterward.	2
against	2
age	1
age.	1
agricultural	1
agriculture,	1
aid	1
airport	1
airports.	1
alchon,	1
algonquian-speaking	1
all	6
all-time	2
all.	1
alley.	1
alliance.	1
allowed	1
allowing	1
almshouses.	1
along	8
already	2
also	3
although	2
alton	1
amendment	1
america.	1
american	11
americans	1
americans,	2
among	1
amount	1
an	12
ancient	1
and	114
and,	1
annual	1
annually,	1
annually.	1
appalachians.	1
appear	1
applied,	1
approximately	2
archeologists	1
are	4
area	15
area,	5
area.	2
areas	1
argonne	1
armaments	1
army,	1
army.	1
around	4
arrival	1
arriving	1
artillery	1
as	56
at	20
atlantic	2
atop	1
attacked	1
attempted	1
attested	1
attracted	2
attracting	1
austin	1
average	3
averages	1
away	1
back	1
banks	1
banned	1
barack	1
base	2
base.	1
based	1
batavia,	1
be	3
beaver	1
became	7
because	2
been	9
before	1
began	2
beginning	2
being	1
bellwether	1
belvidere	1
benefit	1
between	2
bi-national	1
biblical	1
bill	2
bisects	1
black	2
blacks	1
blacks.	1
blanketed	1
bloomington-normal;	1
blues	1
bolstered	1
boom	1
border	8
border.	1
borders	1
born	1
borrowed	1
both	4
bottom.	1
boundaries.	1
boundary	6
bring	1
british	4
brothers.	1
brought	2
building	3
building.	1
buildings	1
built	2
bulge	1
burial	1
burned	1
busiest	1
but	6
but,	1
by	25
cahokia,	2
cairo,	1
cairo.	1
california,	1
call	1
called	4
came	2
canadian	1
canadians	2
canal	3
capital	5
capital,	1
capital;	1
capitol	4
carbondale	2
carbondale-marion-herrin,	1
career	1
carried	1
carthage	1
catholic	1
caused	2
cavalry	1
cedar,	1
ceded	1
center	6
centered	1
centers,	1
central	5
century	2
century,	4
century.	2
chain	1
champaign	1
champaign-urbana.	1
changing	1
characterized	1
charles	1
charleston	1
chicago	21
chicago,	4
chicago-area.	1
chicago.	1
chicagoland,	1
chicagoâ€”are	1
chiefdom	1
cities	5
cities.	1
city	5
city's	1
city,	1
city.	2
civil	2
civilization	1
claimant	1
claimed	1
clark	1
classification	1
climate	4
climate,	1
climate.	1
close	1
coal	2
coal,	1
code	2
cold	2
collectively	1
collinsville,	1
colonists	1
combined	1
commodity	1
common	1
community	1
company	1
complex	1
comprehensive	1
comprising	1
compromise,	1
concentration	1
concert	1
conducted	1
confederation	1
confluence	1
congerville.	1
congress	2
connect	2
connected	1
connects	1
consent	1
considered	1
consists	1
conspicuous	1
constant	1
constitution	2
constructed	1
constructed.	1
construction	1
contains	1
continental	1
continued	1
continued,	1
continues	2
continuing	1
continuous	1
contributed	1
corn	1
cosmology.	1
cosmopolitan	1
cotton	1
could	1
counties	2
country	1
country.	1
county	4
county,	1
covered	1
covers	1
crawford	1
created	2
crimes	1
criminal	1
crop	1
crops	2
crown	1
cultural	1
culture's	1
culture,	1
cultures	1
cultures.	1
current	1
current-day	1
currently	1
cuyd	1
day	1
days	2
deadliest	1
death	1
decades,	1
decatur;	1
december	1
decline	1
declined	2
dedicated	1
deep	2
deere's	1
defeat	1
defeated	1
defined	3
dekalb,	1
delegate,	1
demographics.	1
demonstrates	1
densely	1
depleted	1
deposits	1
derives	1
des	1
design	1
destroying	1
development	1
development,	1
developments	1
dialect,	1
dictionaries	1
did	1
died	2
different	2
disabilities,	1
discussions	1
displayed	1
distance	1
diverse	1
division	1
division,	1
divisions,	1
divisions.	2
dix,	1
document.	1
does	1
dominated	1
dorothea	1
down	1
downtown	1
dramatically,	1
dresden	1
driftless	1
during	6
early	5
earth.	1
east	5
eastern	3
eastern/southeastern	1
economic	1
educational	1
egypt	1
egypt",	2
egypt,	1
elected	1
electricity	1
elevation	1
elevation.	1
eleven	1
emerged	1
emergence	1
empire	1
employment	1
end	2
ending	1
enforced	1
engaged	1
enters	1
entire	1
entirely	1
envisioned	1
era,	1
erected	1
erie	1
establish	1
established	3
ethnic	2
etymology	1
etymology.	2
europe,	1
europe.	1
european	2
europeans.	1
evade	1
evansville,	1
eventually	1
everything	1
excavated	1
exceeds	1
exceptions.	1
exclave	1
exclusionary	1
exists	1
exodus	1
expanding.	1
experimental	1
exploration.	1
explored	1
explorers	2
explorers'	1
expressing	1
extended	1
extension	1
extreme	1
extremes,	1
extremity	1
exurban	1
f,	2
facility	1
factories	1
failures	1
fair	1
false	1
famous	1
farm	1
farmers	1
farmers,	1
farming	1
farmland.	1
farmlands,	1
fast-moving	1
fatalities)	2
fatalities.	1
february	1
federal	2
fermilab,	1
few	3
fields,	1
fifth	1
figure	2
final	1
financed	1
fire	1
first	10
five	1
fixed	1
flexible,	1
flood	2
floodplain	1
flourished	1
followed,	1
food	1
football	1
foote	1
for	23
forced	2
forecasting	1
form,	1
formation	1
forms	1
forms,	1
fort	2
fought	1
founded	2
fourth	4
fox	2
france	1
franchise	1
free	2
freedmen,	1
freeze".	1
freezing	1
french	15
from	24
front	1
ft	7
ft.	1
further	1
gained	1
galena.	1
gathered,	1
gave	1
general	1
generally	1
generated	1
generating	1
genevieve	1
geographical	1
geography.	1
george	1
germany	1
global	1
government	1
government,	1
grain	1
grant	1
grant,	1
granted	1
great	12
greatly	1
grew	3
ground	1
group	1
groups.	1
growth	2
habitation.	1
had	13
hancock	1
harbors	1
has	12
have	10
having	1
hawk	1
haymarket	1
headquartered	1
headquarters	1
heart	1
held	3
helped	1
high	1
high,	2
high-casualty	1
higher	1
highest	1
highlands	1
hills	1
his	1
historians	1
history.	1
holding	1
home	1
homes	1
homes,	1
honors	1
hostile	1
hot,	1
house	1
however,	1
hub	2
hub.	1
humid	3
id="14849"	1
ii,	1
illini	1
illini,	1
illinoian	1
illinois	62
illinois'	7
illinois,	9
illinois-wabash	1
illinois.	11
illinois:	1
illness	1
immigrant	1
immigrants	2
immigration	1
important	3
importantly,	1
impossible	1
in	130
in.	1
include	3
included	1
includes	1
including	5
increased	1
indian	2
indiana	6
indiana's,	1
indiana,	1
indiana.	1
indians	3
indigenous	1
industrial	3
industrialized,	1
infantry	1
